Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adjusted Close
2012-06-22,21.01104164123535,21.01104164123535,21.01104164123535,21.01104164123535,0,0.0,0.0,0.0,21.01104164123535
2012-06-25,21.01104164123535,21.01104164123535,21.01104164123535,21.01104164123535,0,0.0,0.0,0.0,21.01104164123535
2012-06-26,21.01104164123535,21.01104164123535,21.01104164123535,21.01104164123535,0,0.0,0.0,0.0,21.01104164123535
2012-06-27,21.01104164123535,21.01104164123535,21.01104164123535,21.01104164123535,0,0.0,0.0,0.0,21.01104164123535
2012-06-28,21.01104164123535,21.01104164123535,21.01104164123535,21.01104164123535,0,0.0,0.0,0.0,21.01104164123535
2012-06-29,21.01104164123535,21.01104164123535,21.01104164123535,21.01104164123535,0,0.0,0.0,0.0,21.01104164123535
2012-07-02,20.976022720336914,20.976022720336914,20.976022720336914,20.976022720336914,0,0.0,0.0,0.0,20.976022720336914
2012-07-03,21.088085174560547,21.088085174560547,21.088085174560547,21.088085174560547,0,0.0,0.0,0.0,21.088085174560547
2012-07-04,21.18613624572754,21.18613624572754,21.18613624572754,21.18613624572754,0,0.0,0.0,0.0,21.18613624572754
2012-07-05,21.123104095458984,21.123104095458984,21.123104095458984,21.123104095458984,0,0.0,0.0,0.0,21.123104095458984
2012-07-06,21.095088958740234,21.095088958740234,21.095088958740234,21.095088958740234,0,0.0,0.0,0.0,21.095088958740234
2012-07-09,20.934003829956055,20.934003829956055,20.934003829956055,20.934003829956055,0,0.0,0.0,0.0,20.934003829956055
2012-07-10,20.744901657104492,20.744901657104492,20.744901657104492,20.744901657104492,0,0.0,0.0,0.0,20.744901657104492
2012-07-11,20.744901657104492,20.744901657104492,20.744901657104492,20.744901657104492,0,0.0,0.0,0.0,20.744901657104492
2012-07-12,20.32468032836914,20.32468032836914,20.32468032836914,20.32468032836914,0,0.0,0.0,0.0,20.32468032836914
2012-07-13,20.282657623291016,20.282657623291016,20.282657623291016,20.282657623291016,0,0.0,0.0,0.0,20.282657623291016
2012-07-16,20.32468032836914,20.32468032836914,20.32468032836914,20.32468032836914,0,0.0,0.0,0.0,20.32468032836914
2012-07-17,20.33869005497568,20.5067782369367,20.22662993115554,20.401721954345703,2075000,0.0,0.0,0.0,20.401721954345703
